day,hour,area,lat,lon,current_speed,free_flow_speed,traffic_level,temperature,code,windspeed
2,12,Diwan Cheruvu,17.04629017,81.84391764,30,30,Low,30.8,2,8.2
2,12,Morumpudi Junction,16.99604829,81.80198795,33,33,Low,31.1,2,7.9
2,12,VL Puram,17.00036112,81.79457901,36,36,Low,31.1,2,7.9
2,12,Bommuru Junction,16.97002604,81.79820779,53,53,Low,31.1,2,7.9
2,12,Lala Cheruvu,17.02593121,81.80629901,53,53,Low,30.9,2,7.9
2,12,Pushkar Ghat Cir,17.00696903,81.76790598,21,27,Medium,31.1,2,7.9
2,12,Azad Chowk,17.00665391,81.77629003,9,9,Low,31.1,2,7.9
2,12,Devi Chowk Circle,17.00979647,81.77610013,21,27,Medium,31.1,2,7.9
2,12,Balajipeta Junction,16.97671458,81.79384357,53,53,Low,31.1,2,7.9
2,12,Kesavaram Railway gate,16.9311275,81.88170907,22,22,Low,31.1,2,9.4
2,12,GIET NH,17.05948989,81.86937184,53,53,Low,30.6,2,8.2
2,12,DELTA hospital NH,17.01149942,81.80917916,47,58,Medium,30.9,2,7.9
2,12,GSL NH,17.06768406,81.88328358,59,59,Low,30.9,2,7
2,12,JN Road NH,17.00800329,81.80995996,28,28,Low,30.9,2,7.9
2,12,RTC CS Mall,17.0003637,81.78944972,36,36,Low,31.1,2,7.9
2,12,Old Bypass Road,17.00504582,81.78015449,18,28,Medium,31.1,2,7.9
2,12,Jampeta,17.00493586,81.7802133,19,28,Medium,31,2,7.9
2,12,Syamalamba Temple Rd,16.99930568,81.77559463,31,31,Low,31.1,2,7.9
2,12,Stadium Rd,16.99691874,81.77775541,24,24,Low,31.1,2,7.9
2,12,Anala venkata Apparao road,17.00781173,81.7921874,28,28,Low,31,2,7.9
2,12,Manasa Hospital,17.00771734,81.78586393,20,26,Medium,31.1,2,7.9
2,12,Apex Hospital,17.00693863,81.79054341,22,28,Medium,31,2,7.9
2,12,Nandamgani raju junction,17.00948697,81.77954017,16,20,Medium,31.1,2,7.9
2,12,Y juncton,17.01282624,81.78265352,29,36,Medium,31.1,2,7.9
2,12,Chiranjeevi Bus Stand,17.01457254,81.77861516,48,48,Low,31.1,2,7.9
2,12,Gokavaram Bus stand,17.00967985,81.77120172,21,27,Medium,31.1,2,7.9
2,12,Devichowk to Mochi veedhi,17.00897558,81.77516315,20,20,Low,31.1,2,7.9
2,12,jandapanja road,17.00579395,81.77361261,21,27,Medium,31,2,7.9
2,12,CMR Mall,17.00628565,81.77066111,21,27,Medium,31.1,2,7.9
2,12,Markandeya swamy Temple Road,17.00241935,81.76737485,19,25,Medium,31.2,2,7.9
2,12,Kathreru Road,17.02176665,81.77483965,23,30,Medium,31.1,2,7.9
2,12,Tirumala College Road,17.04317119,81.77557759,35,35,Low,31.1,2,7.9
2,12,Dhavaleswaram Main Road,16.95028008,81.78232137,34,34,Low,31.1,2,7.9
2,12,Church Center Bypass,17.00490403,81.78017113,18,27,Medium,31,2,7.9
2,12,Central Jail Road,17.01834611,81.79134448,30,37,Medium,31,2,7.9
2,12,Brothern Church,17.023473,81.78349635,42,42,Low,31,2,7.9
2,12,Quary Market,17.03230697,81.78809778,48,48,Low,31,2,7.9
2,12,Airport Road,17.0417882,81.79431782,42,42,Low,31,2,7.9
2,12,Rial cum Road Bridge,16.99704708,81.76927354,45,45,Low,31.1,2,7.9
2,12,Main Road,16.99989159,81.77174995,21,27,Medium,31.1,2,7.9
2,12,Bhanu Gudi,16.97072762,82.23604298,24,38,Medium,30.8,2,9.3
2,12,Vankata Narayana Railway Gate,16.97309741,82.22603038,30,40,Medium,31.4,2,8.7
2,12,Munsif Gari Junction,16.93705305,82.2329748,16,32,Medium,31.1,2,9.2
2,12,Apt College Road,16.92997584,82.23448295,31,38,Medium,31.1,2,9.2
2,12,Dairyfarm Centre,16.95630211,82.24871505,30,30,Low,31.4,2,8.7
2,12,Gaati Center,16.93563419,82.22835108,21,30,Medium,31.1,2,9.2
2,12,Nagamalli Thota Centre,16.98676611,82.24004443,24,38,Medium,30.8,2,9.3
2,12,Temple Street,16.9469232,82.23195854,25,34,Medium,31.4,2,8.7
2,12,Main Road,16.94777588,82.23388898,20,29,Medium,30.8,2,9.3
2,12,Sarpavaram Junction,16.99489545,82.24274883,2,10,High,30.8,2,9.3
2,12,Pr Clg Road,16.95806544,82.23109821,30,40,Medium,31.4,2,8.7
2,12,Bala Cheruvu,16.95281937,82.2323379,28,39,Medium,30.8,2,9.3
2,12,Nukalamma Temple,16.96300885,82.23441835,27,35,Medium,30.8,2,9.3
2,12,Cinema Road,16.94826209,82.23632529,17,22,Medium,31.4,2,8.7
2,12,Beach Road,17.00894764,82.28321349,26,26,Low,31.4,2,8.7
2,12,Glass House Centre,16.94871864,82.23396555,20,29,Medium,30.8,2,9.3
2,12,Gold Market Centre,16.94680648,82.23381229,20,29,Medium,30.8,2,9.3
2,12,Masjid Centre,16.95101841,82.23404475,17,23,Medium,30.8,2,9.3
2,12,Fire Office Road,16.95625954,82.2331964,27,35,Medium,31.4,2,8.7
2,12,District Court,16.95750555,82.2270718,18,18,Low,30.8,2,9.3
2,12,Ggh,16.95516493,82.23011318,28,39,Medium,30.8,2,9.3
2,12,Kokila Centre,16.95965298,82.22372616,28,39,Medium,31.4,2,8.7
2,12,Drivers Colony,16.91956872,82.23867107,51,51,Low,31.1,2,9.2
2,12,Rto Office,16.9755554,82.24875196,26,40,Medium,31.4,2,8.7
2,12,Vakalapudi Junction,17.00611779,82.26343084,26,26,Low,31.4,2,8.7
2,12,Indrapalem Bridge,16.95965298,82.22372616,28,39,Medium,31.4,2,8.7
2,12,Revenue Office,16.95391532,82.23158617,30,40,Medium,30.8,2,9.3
2,12,Bus Stand,16.96862888,82.23962547,30,30,Low,30.8,2,9.3
2,12,Jntuk Road,16.9733395,82.23687898,26,40,Medium,31.4,2,8.7
2,12,Kalpana Centre,16.95614085,82.23667032,11,17,Medium,31.4,2,8.7
2,12,Jagannadhapuram Bridge,16.94224349,82.23327483,20,29,Medium,31.4,2,8.7
2,12,Kakinada Anchorage Port,16.93999009,82.2562341,27,27,Low,31.4,2,8.7
2,12,Karnam Gari Junction,16.977303,82.22772654,24,38,Medium,30.8,2,9.3
2,12,Pitapuram Kakinada Road,17.00123968,82.24517314,30,39,Medium,30.8,2,9.3
2,12,Pitapuram Kakinada Highway,17.05454405,82.25091475,59,59,Low,31.4,2,8.7
2,12,Achampeta Junction,17.02251512,82.24885405,59,59,Low,31.4,2,8.7
2,12,Satya Gowri Theatre Road,16.94489627,82.23602479,26,26,Low,31.4,2,8.7
2,12,Madhavapatam Centre,16.99251444,82.21067511,30,40,Medium,31.4,2,8.7
2,12,Gandhi Circle,16.96469875,82.22472639,30,40,Medium,31.4,2,8.7
2,12,Light House,17.01400687,82.28410307,26,26,Low,31.4,2,8.7
3,9,Diwan Cheruvu,17.04629017,81.84391764,30,30,Low,29.9,2,5.2
3,9,Morumpudi Junction,16.99604829,81.80198795,25,33,Medium,29.5,2,4.7
3,9,VL Puram,17.00036112,81.79457901,36,36,Low,29.5,2,4.7
3,9,Bommuru Junction,16.97002604,81.79820779,42,52,Medium,29.5,2,4.7
3,9,Lala Cheruvu,17.02593121,81.80629901,42,52,Medium,29.2,2,4.7
3,9,Pushkar Ghat Cir,17.00696903,81.76790598,27,27,Low,29.5,2,4.7
3,9,Azad Chowk,17.00665391,81.77629003,9,9,Low,29.5,2,4.7
3,9,Devi Chowk Circle,17.00979647,81.77610013,27,27,Low,29.5,2,4.7
3,9,Balajipeta Junction,16.97671458,81.79384357,42,52,Medium,29.5,2,4.7
3,9,Kesavaram Railway gate,16.9311275,81.88170907,22,22,Low,29.8,2,2.9
3,9,GIET NH,17.05948989,81.86937184,42,52,Medium,29.6,2,5.2
3,9,DELTA hospital NH,17.01149942,81.80917916,58,58,Low,29.2,2,4.7
3,9,GSL NH,17.06768406,81.88328358,51,59,Low,29.9,2,5.7
3,9,JN Road NH,17.00800329,81.80995996,28,28,Low,29.2,2,4.7
3,9,RTC CS Mall,17.0003637,81.78944972,36,36,Low,29.5,2,4.7
3,9,Old Bypass Road,17.00504582,81.78015449,21,28,Medium,29.5,2,4.7
3,9,Jampeta,17.00493586,81.7802133,20,27,Medium,29.5,2,4.7
3,9,Syamalamba Temple Rd,16.99930568,81.77559463,31,31,Low,29.5,2,4.7
3,9,Stadium Rd,16.99691874,81.77775541,24,24,Low,29.5,2,4.7
3,9,Anala venkata Apparao road,17.00781173,81.7921874,25,28,Low,29.4,2,4.7
3,9,Manasa Hospital,17.00771734,81.78586393,21,25,Medium,29.5,2,4.7
3,9,Apex Hospital,17.00693863,81.79054341,28,28,Low,29.4,2,4.7
3,9,Nandamgani raju junction,17.00948697,81.77954017,21,21,Low,29.5,2,4.7
3,9,Y juncton,17.01282624,81.78265352,25,36,Medium,29.5,2,4.7
3,9,Chiranjeevi Bus Stand,17.01457254,81.77861516,48,48,Low,29.5,2,4.7
3,9,Gokavaram Bus stand,17.00967985,81.77120172,27,27,Low,29.5,2,4.7
3,9,Devichowk to Mochi veedhi,17.00897558,81.77516315,20,20,Low,29.5,2,4.7
3,9,jandapanja road,17.00579395,81.77361261,27,27,Low,29.4,2,4.7
3,9,CMR Mall,17.00628565,81.77066111,27,27,Low,29.5,2,4.7
3,9,Markandeya swamy Temple Road,17.00241935,81.76737485,26,26,Low,29.5,2,4.7
3,9,Kathreru Road,17.02176665,81.77483965,30,30,Low,29.5,2,4.7
3,9,Tirumala College Road,17.04317119,81.77557759,35,35,Low,29.5,2,4.7
3,9,Dhavaleswaram Main Road,16.95028008,81.78232137,34,34,Low,29.5,2,4.7
3,9,Church Center Bypass,17.00490403,81.78017113,22,27,Medium,29.5,2,4.7
3,9,Central Jail Road,17.01834611,81.79134448,25,36,Medium,29.4,2,4.7
3,9,Brothern Church,17.023473,81.78349635,33,42,Medium,29.4,2,4.7
3,9,Quary Market,17.03230697,81.78809778,48,48,Low,29.4,2,4.7
3,9,Airport Road,17.0417882,81.79431782,33,42,Medium,29.4,2,4.7
